Contig_ID	S1_R1_001.masked	S2_R1_001.masked	S3_R1_001.masked	S4_R1_001.masked	S5_R1_001.masked	S6_R1_001.masked	S7_R1_001.masked	S8_R1_001.masked	S9_R1_001.masked	S10_R1_001.masked	S11_R1_001.masked	S12_R1_001.masked
Gene_110	13	5	1	2	2	4	1	0	0	0	0	8
Gene_111	1	6	11	8	0	1	3	4	9	6	0	1
Gene_112	0	7	16	14	2	1	3	12	17	13	2	1
Gene_113	4	0	0	39	49	34	25	2	2	17	25	25
Gene_114	11	9	17	0	0	20	0	9	0	17	0	7
Gene_115	0	6	14	4	5	1	1	1	3	4	2	1
Gene_116	3	2	2	3	0	4	8	1	1	1	0	3
Gene_117	5	9	9	3	4	2	2	7	6	18	1	3
Gene_118	5	3	9	33	14	23	11	2	53	29	5	19
Gene_119	8	0	6	18	0	1	5	7	0	14	0	0
Gene_120	6	9	1	19	1	6	2	10	14	14	2	8
Gene_121	0	2	4	3	0	1	1	8	14	2	1	0
Gene_122	1	7	17	8	5	1	9	7	8	9	1	2
Gene_123	7	4	0	2	0	26	11	26	24	11	1	7
Gene_124	2	3	1	7	1	0	3	4	2	4	2	3
Gene_125	4	3	2	12	5	7	1	5	7	2	4	1
Gene_126	0	0	0	4	10	3	0	1	5	9	1	10
Gene_127	0	3	5	4	0	2	0	5	9	3	0	0
Gene_128	0	15	0	0	0	1	1	4	12	0	1	4
Gene_129	2	0	1	2	12	8	7	1	3	7	2	4
Gene_130	7	2	11	7	0	8	28	12	9	5	11	13
Gene_131	5	1	5	3	8	2	6	2	1	5	6	3
Gene_132	1	2	0	10	0	3	3	0	10	1	2	1
Gene_133	1	6	7	21	2	9	10	7	12	10	9	3
Gene_134	5	16	43	53	1	6	8	11	38	26	2	1
Gene_135	5	93	13	26	14	35	77	123	92	55	9	69
Gene_136	0	4	3	16	7	3	14	15	6	5	0	6
Gene_137	1	0	1	5	2	3	4	1	6	5	5	7
Gene_138	3	5	6	19	10	6	9	6	7	4	4	8
Gene_139	3	8	6	4	13	2	8	9	12	9	0	3
Gene_140	3	3	1	15	7	2	1	2	2	12	5	4
Gene_141	20	14	25	239	6	10	15	14	7	44	10	19
Gene_142	1	3	0	7	3	9	2	1	6	4	1	2
Gene_143	2	0	3	5	3	1	2	1	3	4	0	11
Gene_144	9	18	8	7	6	4	22	19	1	4	1	4
Gene_145	3	4	9	12	3	13	5	1	10	9	7	17
Gene_146	1	1	4	4	3	4	1	0	0	2	4	0
Gene_147	1	4	0	9	2	1	1	0	0	3	4	7
Gene_148	0	0	0	4	6	2	2	0	5	7	4	0
Gene_149	0	0	0	0	0	0	11	4	2	0	0	11
Gene_150	16	165	172	193	20	74	464	244	127	67	33	45
Gene_151	1	9	13	195	14	0	1	18	9	9	0	0
Gene_152	2	0	0	9	14	2	2	0	10	14	0	2
Gene_153	3	3	2	4	1	2	0	5	2	5	0	0
Gene_154	7	17	1	4	8	5	1	8	6	2	9	5
Gene_155	1	7	5	7	10	9	8	8	12	8	6	7
Gene_156	1	0	3	14	3	1	11	5	4	11	2	0
Gene_157	7	3	11	17	3	9	4	1	9	9	12	12
Gene_158	1	2	2	13	1	0	4	1	1	4	0	0
Gene_159	4	6	2	4	3	1	3	0	4	4	2	1
Gene_160	4	7	1	2	1	1	15	5	1	2	0	4
Gene_161	1	13	4	6	0	0	7	2	10	5	0	0
Gene_162	3	3	6	4	9	2	4	6	4	5	3	2
Gene_163	1	12	5	1	1	2	8	15	9	0	0	0
Gene_164	7	13	14	10	12	13	15	8	21	16	11	15
Gene_165	2	1	4	11	7	6	9	2	3	6	6	2
Gene_166	11	13	12	24	7	3	16	13	20	11	2	8
Gene_167	3	5	4	4	0	1	1	2	2	3	0	0
Gene_168	0	0	5	7	0	0	3	3	5	2	0	0
Gene_169	0	1	1	6	0	0	1	7	7	1	0	0
Gene_170	6	2	6	2	2	5	9	16	1	4	11	1
Gene_171	0	0	0	10	0	4	2	2	1	5	1	0
Gene_172	11	16	17	16	45	31	33	15	17	10	14	17
Gene_173	3	4	3	1	4	1	2	1	8	3	1	3
