Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_5	14	2	1	6	8	5	10	0	16	0	15	0	1	8	3	2	4	6	2	4	2	5	6	3	3	2	0	2	3	6	6	7	12	3	5
SAR406_Cluster_525	13	2	1	2	8	9	5	0	21	0	10	1	0	8	4	2	6	4	1	4	5	8	10	0	1	1	0	3	2	11	11	8	7	0	2
SAR406_Cluster_191	8	5	0	5	15	5	5	0	9	2	15	0	0	3	0	2	1	2	2	3	8	10	12	2	2	9	0	3	1	6	11	15	4	2	2
SAR406_Cluster_193	7	4	1	1	14	2	3	0	14	2	36	0	0	4	1	4	4	6	1	4	6	8	9	2	0	2	0	0	2	9	6	5	7	2	1
SAR406_Cluster_403	12	2	0	0	2	4	9	0	21	0	9	0	1	23	2	1	5	6	5	5	2	3	4	2	0	1	1	1	3	7	8	6	7	5	8
SAR406_Cluster_480	5	7	0	2	9	6	4	0	16	1	17	1	0	11	6	1	3	3	0	3	5	5	9	2	7	3	0	3	5	8	2	9	8	1	3
SAR406_Cluster_618	15	3	1	1	10	3	6	0	13	0	21	0	0	12	4	4	5	1	0	5	3	4	4	0	0	5	1	5	4	11	6	11	1	3	3
SAR406_Cluster_296	9	2	1	5	13	1	3	0	12	0	37	0	0	2	11	3	1	1	1	0	4	3	4	2	1	0	1	3	3	16	12	8	4	1	0
SAR406_Cluster_314	8	4	0	2	4	6	3	0	20	1	12	0	0	10	8	0	2	6	2	4	7	3	11	1	8	5	0	3	2	10	2	6	6	6	2
SAR406_Cluster_757	7	4	0	3	4	5	8	0	24	1	13	0	1	6	1	2	3	9	8	3	1	5	12	1	1	3	0	0	0	2	6	14	12	3	2
SAR406_Cluster_464	3	3	0	2	2	7	19	0	17	1	11	1	0	7	2	1	2	5	4	7	4	6	7	1	6	2	1	0	4	7	5	10	9	3	4
SAR406_Cluster_198	10	6	0	0	7	5	4	0	24	2	12	0	5	20	3	1	4	5	6	0	2	2	5	1	0	2	2	6	2	0	5	5	6	7	2
SAR406_Cluster_223	6	6	0	2	6	5	5	0	14	1	18	1	1	7	5	2	6	4	2	4	4	8	10	2	2	0	1	4	2	11	3	6	9	2	1
SAR406_Cluster_269	10	7	0	4	6	5	3	0	16	1	23	0	0	5	4	1	0	2	6	2	5	3	6	1	1	3	0	4	2	8	14	9	7	0	1
SAR406_Cluster_450	11	5	1	0	9	3	6	0	28	0	8	0	0	7	0	2	4	5	0	11	1	5	13	1	4	2	0	3	2	0	5	5	8	4	5
SAR406_Cluster_517	7	2	0	5	5	3	3	1	14	1	12	1	0	11	5	2	2	3	3	9	5	6	6	3	2	5	1	4	1	8	10	8	4	4	1
